centre_code,centre_name,license_issue_date,license_tenure
PT8541,Greentree Montessori Children House  Pte Ltd,2025-07-31,12
PT8518,GREENTREE MONTESSORI CHILDREN HUB PTE. LTD.,2024-09-17,36
PT9474,Greentree Montessori Children Terrace Pte Ltd,2023-08-01,36
PT9523,GUG PRESCHOOL @ TAMPINES PTE LTD,2024-01-22,36
PT9574,Hanis Montessori Kindergarten ( Choa Chu Kang ),2023-09-27,36
PT9584,HANIS Montessori Kindergarten ( Tampines ),2023-09-27,36
PT9784,HANIS Montessori Playhouse ( Elias Mall ),2026-03-01,12
PT9572,HANIS Montessori Playhouse ( Pasir Ris ),2026-01-01,12
PT9573,HANIS Montessori Playhouse ( Woodlands ),2026-01-01,12
PT9509,HAPPY KIDS PRESCHOOL PTE. LTD.,2023-12-18,36
PT7190,HAPPY TOWN CHILDCARE PTE LTD,2026-07-02,36
PT9391,HARMONI PRESKOOL @ BUANGKOK PTE LTD,2025-10-11,36
PT9444,HARMONI PRESKOOL @ YISHUN PTE LTD,2026-03-21,36
RC1630,HATCH by TOUCH Preschools @ Zhenghua 510,2024-04-05,36
RC0590,HATCH by TOUCH Preschools @Clementi 333,2025-11-16,36
RC0570,HATCH by TOUCH Preschools @Hougang 606,2024-01-04,36
RC1140,HATCH by TOUCH Preschools @Woodlands 171,2024-09-11,36
RC0490,HATCH Preschools @ Bukit Batok 225,2025-07-30,36
PT9698,HEARTFIELD KINDERGARTEN PTE LTD,2023-10-30,36
PT9416,HEARTYLAND INFANT CARE PTE LTD,2025-12-15,36
PT9270,Heartyland Pte Ltd,2026-01-01,36
PT9947,"Hei School, Bishan",2026-04-13,12
PT9716,Hess Preschool Katong Pte. Ltd.,2024-10-23,36
PT9093,HI-5 HOUSE OF LEARNING(HOL) PRESCHOOL@JOO SENG PTE. LTD.,2026-01-01,24
RC1860,HOLY GRACE KINDERCARE,2024-03-31,36
PT9833,House on the Hill Montessori Pre-School,2026-06-23,24
PT8808,HOUSE ON THE HILL PTE LTD,2026-06-27,36
PT9477,HOUSE ON THE HILL PTE. LTD.,2023-08-02,36
PT9671,House on the Hill Pte. Ltd.,2024-03-12,36
PT9115,HUDA CHILDCARE (WOODLANDS11) PTE. LTD.,2026-03-11,36
PT9738,Huda Childcare (WRR) Pte Ltd,2025-02-17,36
PT8809,HUDA CHILDCARE PTE. LTD.,2026-01-31,36
PT5010,IDEAL MONTESSORI PTE LTD,2025-11-15,12
PT8967,IKIDS WORLD PTE. LTD.,2024-08-01,36
PT9355,ILHAM CHILD CARE (EAST) PTE LTD,2026-03-13,36
PT9853,ILHAM CHILD CARE (NORTH) PTE LTD,2026-02-01,24
PT9063,ILHAM CHILD CARE PTE. LTD.,2025-08-01,36
PT8805,IMAN CHILDCARE ( WOODGROVE) PTE. LTD.,2026-05-24,24
PT9403,IMAN CHILDCARE (BUKIT BATOK) PTE LTD,2025-11-10,12
PT8989,IMAN CHILDCARE (JURONG) PTE. LTD.,2025-05-25,24
PT8501,IMAN CHILDCARE (SIMEI) PTE. LTD.,2025-05-01,36
PT9503,IMAN CHILDCARE (TAMPINES) PTE LTD,2026-06-01,12
PT9690,IMAN KINDERGARTEN (CCK) PTE LTD,2025-01-01,24
PT9664,IMAN KINDERGARTEN (YISHUN) PTE LTD,2025-01-01,24
PT9949,Impressions Montessori Kindergarten,2026-04-24,12
PT9388,"INNO MONTESSORI PTE. LTD,",2025-10-01,36
PT9624,Iroha Kindergarten,2023-08-21,36
RC0820,IYAD PERDAUS CHILD DEVELOPMENT,2024-05-12,36
RC1530,IYAD PERDAUS CHILD DEVELOPMENT,2024-05-13,36
RC1746,IYAD PERDAUS CHILD DEVELOPMENT,2025-07-28,36
RC0830,JAMIYAH CHILD CARE CENTRE,2026-07-03,36
